courseId,title,domain,skills,level,durationWeeks,platform,rating,link
1,AI Course 1,AI,TensorFlow Python PyTorch,Advanced,12,NPTEL,4.1,https://nptel.ac.in/
2,AI Course 2,AI,TensorFlow PyTorch Python,Intermediate,10,NPTEL,4.7,https://nptel.ac.in/
3,AI Course 3,AI,TensorFlow Python DeepLearning,Advanced,5,NPTEL,4.5,https://nptel.ac.in/
4,AI Course 4,AI,MachineLearning DeepLearning PyTorch,Beginner,5,NPTEL,4.0,https://nptel.ac.in/
5,AI Course 5,AI,DeepLearning TensorFlow PyTorch,Advanced,9,NPTEL,4.6,https://nptel.ac.in/
6,AI Course 6,AI,TensorFlow PyTorch DeepLearning,Advanced,8,NPTEL,4.3,https://nptel.ac.in/
7,AI Course 7,AI,PyTorch TensorFlow MachineLearning,Beginner,7,NPTEL,4.1,https://nptel.ac.in/
8,AI Course 8,AI,DeepLearning TensorFlow Python,Beginner,9,NPTEL,4.6,https://nptel.ac.in/
9,AI Course 9,AI,TensorFlow MachineLearning Python,Intermediate,11,NPTEL,4.9,https://nptel.ac.in/
10,AI Course 10,AI,DeepLearning Python PyTorch,Intermediate,4,NPTEL,3.8,https://nptel.ac.in/
11,AI Course 11,AI,PyTorch MachineLearning TensorFlow,Advanced,4,NPTEL,4.3,https://nptel.ac.in/
12,AI Course 12,AI,TensorFlow PyTorch DeepLearning,Advanced,6,NPTEL,4.0,https://nptel.ac.in/
13,AI Course 13,AI,Python DeepLearning MachineLearning,Advanced,11,NPTEL,5.0,https://nptel.ac.in/
14,AI Course 14,AI,Python DeepLearning PyTorch,Advanced,9,NPTEL,4.2,https://nptel.ac.in/
15,AI Course 15,AI,DeepLearning MachineLearning PyTorch,Intermediate,8,NPTEL,3.9,https://nptel.ac.in/
16,Data Science Course 1,Data Science,Visualization Statistics Python,Beginner,11,NPTEL,4.8,https://nptel.ac.in/
17,Data Science Course 2,Data Science,Python Pandas Visualization,Intermediate,5,NPTEL,3.9,https://nptel.ac.in/
18,Data Science Course 3,Data Science,Statistics Visualization Python,Advanced,8,NPTEL,4.9,https://nptel.ac.in/
19,Data Science Course 4,Data Science,Visualization Python NumPy,Advanced,12,NPTEL,4.4,https://nptel.ac.in/
20,Data Science Course 5,Data Science,Pandas NumPy Visualization,Advanced,9,NPTEL,4.5,https://nptel.ac.in/
21,Data Science Course 6,Data Science,Pandas Statistics Python,Advanced,6,NPTEL,3.9,https://nptel.ac.in/
22,Data Science Course 7,Data Science,Pandas Statistics NumPy,Advanced,5,NPTEL,4.9,https://nptel.ac.in/
23,Data Science Course 8,Data Science,NumPy Statistics Python,Intermediate,6,NPTEL,4.5,https://nptel.ac.in/
24,Data Science Course 9,Data Science,NumPy Statistics Python,Beginner,11,NPTEL,4.1,https://nptel.ac.in/
25,Data Science Course 10,Data Science,Visualization Statistics NumPy,Advanced,7,NPTEL,4.7,https://nptel.ac.in/
26,Data Science Course 11,Data Science,Pandas Statistics Visualization,Intermediate,11,NPTEL,4.7,https://nptel.ac.in/
27,Data Science Course 12,Data Science,Visualization Python NumPy,Intermediate,10,NPTEL,4.0,https://nptel.ac.in/
28,Data Science Course 13,Data Science,Python Pandas Visualization,Beginner,11,NPTEL,4.5,https://nptel.ac.in/
29,Data Science Course 14,Data Science,Visualization Python Statistics,Intermediate,4,NPTEL,4.4,https://nptel.ac.in/
30,Data Science Course 15,Data Science,NumPy Pandas Python,Beginner,8,NPTEL,4.5,https://nptel.ac.in/
31,Web Development Course 1,Web Development,NodeJS HTML React,Beginner,9,NPTEL,4.6,https://nptel.ac.in/
32,Web Development Course 2,Web Development,React JavaScript HTML,Advanced,8,NPTEL,4.9,https://nptel.ac.in/
33,Web Development Course 3,Web Development,CSS React NodeJS,Intermediate,5,NPTEL,4.8,https://nptel.ac.in/
34,Web Development Course 4,Web Development,JavaScript React NodeJS,Beginner,11,NPTEL,3.9,https://nptel.ac.in/
35,Web Development Course 5,Web Development,CSS HTML React,Intermediate,5,NPTEL,4.8,https://nptel.ac.in/
36,Web Development Course 6,Web Development,CSS React JavaScript,Advanced,10,NPTEL,4.7,https://nptel.ac.in/
37,Web Development Course 7,Web Development,CSS React JavaScript,Advanced,8,NPTEL,4.0,https://nptel.ac.in/
38,Web Development Course 8,Web Development,HTML CSS NodeJS,Intermediate,11,NPTEL,3.8,https://nptel.ac.in/
39,Web Development Course 9,Web Development,CSS HTML NodeJS,Intermediate,7,NPTEL,4.7,https://nptel.ac.in/
40,Web Development Course 10,Web Development,HTML JavaScript React,Beginner,4,NPTEL,4.5,https://nptel.ac.in/
41,Web Development Course 11,Web Development,NodeJS HTML React,Advanced,6,NPTEL,4.4,https://nptel.ac.in/
42,Web Development Course 12,Web Development,React JavaScript NodeJS,Beginner,9,NPTEL,4.2,https://nptel.ac.in/
43,Web Development Course 13,Web Development,NodeJS CSS HTML,Advanced,5,NPTEL,4.1,https://nptel.ac.in/
44,Web Development Course 14,Web Development,HTML CSS JavaScript,Intermediate,7,NPTEL,5.0,https://nptel.ac.in/
45,Web Development Course 15,Web Development,JavaScript CSS React,Advanced,10,NPTEL,4.9,https://nptel.ac.in/
46,Cybersecurity Course 1,Cybersecurity,Security Networking Linux,Beginner,11,NPTEL,4.0,https://nptel.ac.in/
47,Cybersecurity Course 2,Cybersecurity,Security Linux KaliLinux,Beginner,5,NPTEL,4.4,https://nptel.ac.in/
48,Cybersecurity Course 3,Cybersecurity,Networking EthicalHacking Security,Beginner,4,NPTEL,4.1,https://nptel.ac.in/
49,Cybersecurity Course 4,Cybersecurity,Networking Security KaliLinux,Advanced,8,NPTEL,4.3,https://nptel.ac.in/
50,Cybersecurity Course 5,Cybersecurity,KaliLinux Linux Security,Beginner,12,NPTEL,4.8,https://nptel.ac.in/
51,Cybersecurity Course 6,Cybersecurity,Security Networking Linux,Intermediate,5,NPTEL,4.1,https://nptel.ac.in/
52,Cybersecurity Course 7,Cybersecurity,Networking KaliLinux Security,Beginner,6,NPTEL,4.1,https://nptel.ac.in/
